EECS 485 2015 Fall Project Groups,,,
Group #,Member_1,Member_2,Member_3
1,desilvjo,messes,
2,benrathi,chenensd,maximal
3,luochen,mabuting,hangy
4,nrmealey,emriedel,begroh
5,preetmhn,bwaggone,gapoorva
6,htsun,mssolarz,tiantong
7,mgild,margolei,klshaker
8,dafeiner,cmtholm,ashres
9,mxsmith,torus,olenah
10,sssang,yangyf,zijcai
11,bdeere,weidndon,mbrem
12,vmmodi,hemmrich,samraja
13,yogeshs,davidcai,jinjenni
14,jswo,jknudson,mitchjoa
15,ishbaid,jsharin,urlauba
16,owenyang,wilsoda,robimeht
17,felangel,nmkim,
19,luoyiz,lutao,jasonwj
20,zhangyd,jkfeng,sevencxy
21,chenxicx,zhimengw,silvesam
22,nohharri,carlchan,hubrian
23,alexpeck,chellmic,tpdietz
24,mdzhu,ajtran,nnandig
25,wyf,renl,fanzy
26,agiuglia,eaze,huynhm
27,mjdolan,anadrich,jskimmer
28,jasowang,rileysj,ebbittm
29,jiaxuan,yishaz,luyoujia
30,kbyang,crkowale,aelise
31,pascualy,higginsn,mndhrj
32,zcoughl,montaust,wasawyer
33,jayhan,kossekdy,dcadez
34,sehuang,yayunlo,timchen
35,soiferj,eedmond,iblaauw
36,sandgupt,anchen,blimmer
37,matsuis,mmbob,
38,xmarion,kktam,jdou
39,blainex,wanyifei,wangkw
40,mikeshen,sarthakb,tselv
41,hasatahm,millen,sghai
42,milewa,mgclouti,cgraess
43,ncnuech,avimatt,ryanwawr
44,kevinjmo,jaymo,mwindas
45,daharr,muneebah,saifali
46,liush,qingzhou,xianfei
47,joshviss,texell,tmgierc 
48,sachinkj,arode,vidal
49,annajh,habtemlu,
50,gluckca,kuykendb,abberro
51,asbarber,zweglarz,
52,yidimu,rxianzhi,tomasmed
53,wasewicz,dkslaba,meintjes
55,aary,prithviy,kmaune
56,jinatum,dannymmc,dylanlu
57,hailuand,camyllh,cwscott
58,jinhping,cobbju,xts
59,amaraj,mcintyav,markanp
60,prateeks,dinardln,pbaum
61,ryansann,ryanauj,brhicks
62,desaiar,adamgyee,seongju
63,rhampt,alexsmur,jafelker
64,moeahmad,aniketk,coyleph
65,adiwan,mahraan,rishb
66,ahyoo,sammieg,kschon
67,alexbro,jopalesk,celueb
68,oliviakg,cjschell,alifost
69,shihaoz,xiaofant,jings
70,enli,zzhiqing,icharles
71,ttrom,davidhe,lkatt
72,samtorch,nietoe,vbracht
73,elabraha,arager,hannoell
74,lmolley,nduchan,ahyerman
75,samirish,mdobro,mxmeng
76,vainberg,lplatz,
77,haeminp,tanaa,smokhtar
78,memccoy,acarusoa,boulanza
79,jmkauf,rogerrw,fhani
80,skvikas,nitishp,rrampr
81,nniu,kyleyan,moorthya
82,hmajoros,ottenwal,jpbryan
83,logannat,jbattsek,delamaan
84,catluri,sevnadj,ymabdulh
85,wooae,jsunk,
86,ckushner,coopery,rhuddles
87,wanglu,jianhuan,qiuhanzh
88,joedai,phzhao,hongdp
89,kshean,tallaric,cookeiii
90,mwapple,roharo,zhoulin
91,jsherick,olsonchs,rosawu
92,zmfink,buechech,coughcon
93,rositawo,rshconn,vrtiruko
94,jminjie,ajlj,evanws
95,robrose,spcoop,yeshdev
96,gdhodge,spinak,purekar
97,chl,soochism,dunb
98,gnawang,jasonnoh,xinghai
99,alavimir,mattnguy,pvsingh
100,sniderdj,nglatz,rishdosh
101,jesusam,walworob,zhecht
102,jessholc,ginchai,silanke
103,edcunnin,nshekar,sspatel
104,housekey,indugh,alexmang
105,hmahmood,mpratika,ramits
106,smcguffi,gordonz,narenn
107,jessimb,mshelley,awlev
108,sangjunp,howiemok,spegkim
109,ajaay,prenner,nkhm
110,kkuang,jaesungj,chandnit
111,jiarul,lamjason,mingyuan
112,parkerak,brakittl,cering
113,congrieb,annadai,svisai
114,mvalerie,ahajalie,sulamita
115,chadmg,yossier,agrills
116,yuehuahu,yanbinl,jieping
119,rdai,akaminet,joshsong
120,biowens,mmcurry,chpike
121,reegs,nlizardo,
122,chipmor,nihirp,sujayc
123,jesseoh,gerstler,
124,ngavin,davidmis,jcbator
125,sstalev,agamb,malcocar
126,yixiangw,wshiyu,chenray
127,nnjiang,xiaocw,shangyub
128,yjianing,kelin,
